tier,model,is_baseline,rmse,mae,wmape,mase,train_seconds,inference_seconds
high_volume,lightgbm,False,150.43307330792905,15.887948639705922,,,0.8868541669,0.081459
high_volume,seasonal_naive,True,360.582019348713,54.83497267759563,,,0.0,0.0025475421
high_volume,xgboost,False,155.95854713389107,15.581271644044119,,,1.206327542,0.0348109589
sparse,CrostonClassic,False,,,21.36557764452276,36.10960911598906,1.949389916146174,1.949389916146174
sparse,CrostonSBA,False,,,20.344389651081563,34.43647810175583,1.949389916146174,1.949389916146174
sparse,Naive,True,,,2.0089945852596736,2.95391843928086,1.949389916146174,1.949389916146174
sparse,TSB,False,,,3.144757187289068,3.1118560229058674,1.949389916146174,1.949389916146174
